mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
42.14,4.70,-47.50,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
42.60,4.54,-47.57,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
41.66,4.70,-46.23,-0.67,0.12,0.61,-0.04,-0.03,1.00,idle
42.66,4.82,-47.31,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.09,4.42,-46.96,-0.61,-0.12,0.37,-0.04,-0.03,1.00,idle
42.13,5.09,-48.24,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
42.09,5.38,-48.66,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.32,5.05,-47.41,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.04,4.64,-47.79,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.71,4.79,-47.00,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.40,4.87,-46.45,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.29,4.76,-47.51,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.13,4.77,-47.14,-0.55,0.00,0.24,-0.04,-0.03,1.00,idle
42.55,4.61,-47.96,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
41.78,5.29,-47.17,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.20,5.22,-47.85,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.15,4.42,-48.03,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.90,-47.00,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.52,4.97,-47.91,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.24,4.87,-47.69,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.60,4.63,-47.16,-0.55,0.12,0.43,-0.04,-0.03,1.00,idle
42.97,5.00,-46.44,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.69,4.57,-47.89,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.42,4.86,-47.64,-0.55,0.00,0.49,-0.04,-0.03,1.00,idle
42.81,5.31,-46.89,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.53,5.04,-45.34,-0.98,0.00,0.43,-0.04,-0.03,1.00,idle
42.54,4.36,-46.48,-0.79,0.06,0.24,-0.04,-0.03,1.00,idle
42.55,4.83,-47.38,-0.92,0.00,0.37,-0.04,-0.03,1.00,idle
42.47,4.46,-46.13,-0.73,-0.12,0.55,-0.04,-0.03,1.00,idle
42.63,4.69,-47.40,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
42.40,3.98,-47.55,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.87,4.88,-47.33,-0.92,-0.12,0.49,-0.04,-0.03,1.00,idle
41.88,4.52,-47.45,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
42.50,4.70,-46.66,-0.79,-0.12,0.31,-0.04,-0.03,1.00,idle
42.10,4.44,-47.47,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.29,4.77,-47.17,-0.67,0.06,0.31,-0.04,-0.03,1.00,idle
42.19,5.00,-46.69,-0.85,0.06,0.55,-0.04,-0.03,1.00,idle
42.05,4.49,-46.50,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.08,5.16,-47.00,-0.85,-0.06,0.67,-0.04,-0.03,1.00,idle
42.44,5.00,-48.24,-0.79,0.06,0.31,-0.04,-0.03,1.00,idle
42.19,4.79,-47.33,-0.67,-0.12,0.49,-0.04,-0.03,1.00,idle
42.36,4.74,-47.18,-0.85,-0.06,0.55,-0.04,-0.03,1.00,idle
41.97,4.24,-47.61,-0.85,-0.06,0.61,-0.04,-0.03,1.00,idle
42.57,4.69,-46.48,-0.61,-0.06,0.37,-0.04,-0.04,1.00,idle
41.96,4.94,-46.63,-0.73,0.06,0.61,-0.04,-0.03,1.00,idle
42.00,4.27,-46.97,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.54,4.94,-46.95,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.26,4.74,-47.35,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.29,4.85,-47.34,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.38,4.59,-47.60,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.30,4.70,-45.78,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.22,4.47,-47.07,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
41.87,4.74,-47.12,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.26,5.36,-48.22,-0.85,0.00,0.31,-0.04,-0.03,1.00,idle
42.40,4.99,-46.34,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.22,5.07,-46.70,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.61,4.57,-47.46,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.59,5.20,-46.48,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.54,5.00,-46.29,-0.85,-0.12,0.55,-0.04,-0.03,1.00,idle
