mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
42.91,4.80,-46.98,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.14,4.96,-47.02,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.80,5.00,-47.19,-0.49,-0.12,0.43,-0.04,-0.03,1.00,idle
42.29,4.76,-47.53,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.31,4.86,-47.02,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.00,4.80,-47.50,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.13,4.79,-46.48,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.36,4.74,-46.33,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
41.89,5.30,-46.17,-0.61,0.06,0.55,-0.04,-0.03,1.00,idle
42.77,5.04,-46.59,-0.79,0.12,0.43,-0.04,-0.03,1.00,idle
42.30,5.00,-47.64,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
42.18,4.48,-47.09,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.41,4.71,-47.49,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
41.97,4.54,-47.77,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.46,4.41,-47.11,-0.67,-0.18,0.55,-0.04,-0.03,1.00,idle
42.20,4.68,-46.22,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.66,-45.73,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.53,5.41,-47.27,-0.92,0.00,0.55,-0.04,-0.03,1.00,idle
42.96,4.87,-46.63,-0.55,0.00,0.55,-0.04,-0.03,1.00,idle
42.46,5.05,-47.74,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.20,5.09,-48.44,-0.61,-0.06,0.43,-0.04,-0.04,1.00,idle
42.44,4.81,-46.80,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.60,5.08,-46.84,-0.85,0.12,0.43,-0.04,-0.03,1.00,idle
42.26,4.66,-46.70,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.27,4.74,-46.42,-0.49,0.18,0.49,-0.04,-0.03,1.00,idle
42.09,4.72,-46.88,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.25,4.90,-47.35,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.49,4.59,-47.17,-0.61,-0.12,0.55,-0.04,-0.03,1.00,idle
42.15,5.04,-47.69,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
41.54,4.57,-47.05,-0.67,0.06,0.61,-0.04,-0.03,1.00,idle
42.21,4.66,-47.97,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.68,4.65,-47.55,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.25,4.48,-47.74,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.16,4.70,-46.48,-0.67,0.12,0.31,-0.04,-0.03,1.00,idle
42.63,5.05,-47.25,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.18,4.63,-46.24,-0.73,0.06,0.24,-0.04,-0.03,1.00,idle
42.77,4.39,-46.72,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.15,4.61,-46.73,-0.85,0.00,0.31,-0.04,-0.03,1.00,idle
42.88,4.94,-48.44,-0.73,-0.18,0.37,-0.04,-0.03,1.00,idle
43.09,4.71,-46.68,-0.67,0.06,0.18,-0.04,-0.03,1.00,idle
42.02,5.14,-46.18,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
41.99,4.99,-46.97,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
42.00,4.96,-47.13,-0.92,-0.06,0.61,-0.04,-0.03,1.00,idle
42.41,5.04,-46.57,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.42,5.07,-47.02,-0.92,-0.06,0.43,-0.04,-0.03,1.00,idle
42.05,4.27,-47.39,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
